date,Glucose_Level
01/01/2020,100.993
04/01/2020,101.298
07/01/2020,104.397
10/01/2020,107.584
13/01/2020,105.373
16/01/2020,106.509
19/01/2020,111.075
22/01/2020,110.176
25/01/2020,108.199
28/01/2020,110.492
31/01/2020,108.53
03/02/2020,108.372
06/02/2020,109.458
09/02/2020,104.674
12/02/2020,104.472
15/02/2020,106.156
18/02/2020,104.595
21/02/2020,106.615
24/02/2020,103.605
27/02/2020,102.138
01/03/2020,107.576
04/03/2020,104.042
07/03/2020,104.661
10/03/2020,101.903
13/03/2020,104.083
16/03/2020,105.995
19/03/2020,104.237
22/03/2020,108.193
25/03/2020,107.245
28/03/2020,108.93
31/03/2020,109.396
03/04/2020,115.363
06/04/2020,112.619
09/04/2020,111.403
12/04/2020,115.882
15/04/2020,112.324
18/04/2020,115.497
21/04/2020,111.241
24/04/2020,112.343
27/04/2020,114.989
30/04/2020,115.437
03/05/2020,113.455
06/05/2020,111.848
09/05/2020,110.293
12/05/2020,106.645
15/05/2020,106.803
18/05/2020,105.942
21/05/2020,107.626
24/05/2020,104.918
27/05/2020,99.536
30/05/2020,102.689
02/06/2020,100.424
05/06/2020,99.189
08/06/2020,101.32
11/06/2020,101.919
14/06/2020,101.678
17/06/2020,98.277
20/06/2020,99.633
23/06/2020,101.332
26/06/2020,103.124
29/06/2020,100.761
02/07/2020,101.893
05/07/2020,100.551
08/07/2020,100.783
11/07/2020,105.087
14/07/2020,106.302
17/07/2020,103.39
20/07/2020,105.284
23/07/2020,103.534
26/07/2020,100.846
29/07/2020,101.988
01/08/2020,103.292
04/08/2020,98.946
07/08/2020,100.835
10/08/2020,91.08
13/08/2020,96.548
16/08/2020,93.681
19/08/2020,91.576
22/08/2020,91.132
25/08/2020,85.897
28/08/2020,88.54
31/08/2020,89.012
03/09/2020,90.803
06/09/2020,86.6
09/09/2020,86.051
12/09/2020,86.928
15/09/2020,90.24
18/09/2020,89.733
21/09/2020,88.836
24/09/2020,91.857
27/09/2020,92.031
30/09/2020,94.807
03/10/2020,92.48
06/10/2020,94.181
09/10/2020,94.902
12/10/2020,93.473
15/10/2020,97.543
18/10/2020,97.841
21/10/2020,97.506
24/10/2020,97.011
27/10/2020,94.45
30/10/2020,96.076
02/11/2020,95.729
05/11/2020,94.201
08/11/2020,94.807
11/11/2020,95.238
14/11/2020,97.522
17/11/2020,93.485
20/11/2020,93.143
23/11/2020,92.118
26/11/2020,88.247
29/11/2020,92.054
02/12/2020,92.471
05/12/2020,97.752
08/12/2020,93.145
11/12/2020,95.055
14/12/2020,95.503
17/12/2020,94.526
20/12/2020,100.576
23/12/2020,101.315
26/12/2020,102.963
29/12/2020,101.136
01/01/2021,107.289
04/01/2021,103.12
07/01/2021,108.408
10/01/2021,112.76
13/01/2021,107.35
16/01/2021,108.937
19/01/2021,110.783
22/01/2021,109.866
25/01/2021,107.844
28/01/2021,110.954
31/01/2021,108.39
03/02/2021,111.019
06/02/2021,107.686
09/02/2021,112.017
12/02/2021,106.726
15/02/2021,107.053
18/02/2021,108.798
21/02/2021,104.293
24/02/2021,106.934
27/02/2021,108.987
02/03/2021,103.237
05/03/2021,107.095
08/03/2021,107.713
11/03/2021,109.408
14/03/2021,106.187
17/03/2021,106.973
20/03/2021,111.715
23/03/2021,112.384
26/03/2021,113.43
29/03/2021,114.735
01/04/2021,113.723
04/04/2021,116.472
07/04/2021,117.364
10/04/2021,115.931
13/04/2021,121.457
16/04/2021,118.806
19/04/2021,115.364
22/04/2021,118.706
25/04/2021,114.857
28/04/2021,117.58
01/05/2021,117.336
04/05/2021,112.239
07/05/2021,114.556
10/05/2021,112.137
13/05/2021,111.617
16/05/2021,112.452
19/05/2021,106.923
22/05/2021,104.772
25/05/2021,103.511
28/05/2021,102.841
31/05/2021,103.694
03/06/2021,104.109
06/06/2021,103.763
09/06/2021,104.843
12/06/2021,103.372
15/06/2021,106.564
18/06/2021,103.558
21/06/2021,110.041
24/06/2021,106.405
27/06/2021,103.988
30/06/2021,104.061
03/07/2021,107.579
06/07/2021,106.449
09/07/2021,108.445
12/07/2021,107.898
15/07/2021,106.536
18/07/2021,104.507
21/07/2021,102.48
24/07/2021,103.725
27/07/2021,105.259
30/07/2021,102.752
02/08/2021,98.492
05/08/2021,99.915
08/08/2021,98.892
11/08/2021,94.922
14/08/2021,95.628
17/08/2021,94.174
20/08/2021,90.655
23/08/2021,92.723
26/08/2021,92.404
29/08/2021,92.953
01/09/2021,92.638
04/09/2021,87.759
07/09/2021,88.854
10/09/2021,92.188
13/09/2021,92.8
16/09/2021,93.572
19/09/2021,101.13
22/09/2021,95.521
25/09/2021,97.63
28/09/2021,98.229
01/10/2021,98.522
04/10/2021,97.386
07/10/2021,100.195
10/10/2021,97.63
13/10/2021,99.018
16/10/2021,98.647
19/10/2021,99.715
22/10/2021,103.932
25/10/2021,95.156
28/10/2021,99.712
31/10/2021,94.459
03/11/2021,96.021
06/11/2021,98.399
09/11/2021,95.629
12/11/2021,92.69
15/11/2021,92.87
18/11/2021,95.262
21/11/2021,92.226
24/11/2021,94.11
27/11/2021,93.983
30/11/2021,93.036
03/12/2021,99.306
06/12/2021,97.186
09/12/2021,92.968
12/12/2021,98.665
15/12/2021,98.381
18/12/2021,102.918
21/12/2021,101.189
24/12/2021,104.111
27/12/2021,106.875
30/12/2021,109.035
02/01/2022,106.215
05/01/2022,109.096
08/01/2022,109.773
11/01/2022,110.165
14/01/2022,115.529
17/01/2022,113.112
