"Molecule","Library","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex"
"COC(=O)c1c[nH]c2ccccc12","Maybridge",9.259148545064336,7.203247926875855,5.886751345948129,6.844934982691242,6.325698502695488,3.9711971193069777,2.6160254037844384,3.7247448713915894,9.551020408163264,4.022160664819944,1.7751479289940828,6.4508201479591865,2.6169818531855973,1.1185210784023676,1.2985907127210172
"Oc1nc2ccccc2s1","Maybridge",6.974691494688164,5.928573139150007,3.809401076758503,4.5604779323150675,4.860173345306138,3.722915533831152,1.8273502691896255,2.6498299142610593,6.694214876033058,2.56,1.2409972299168974,5.519372544962287,2.060332800492209,0.9791193390901125,1.137174429252196
"Nc1cccc(F)c1C#N","Maybridge",7.560477932315068,5.134579145267688,3.732050807568877,4.560477932315067,4.753218857624056,2.695281104705698,1.9940169358562922,2.891411538058256,8.1,3.408284023668639,1.75,4.8018160763293345,1.8842572162713287,0.9126899698957313,0.9047856593031226
"Cn1nc(O)cc1C(F)(F)F","Maybridge",8.646264369941973,5.552884474717181,3.0773502691896257,3.3618073195657994,4.90970216816285,2.7123309674533607,0.8273502691896257,1.105171715522539,9.090909090909092,2.8027681660899653,1.9753086419753085,6.897990966569017,2.0611543593416584,1.4122519964729188,1.29252946831301
"O\N=C1/CN2CCC1CC2","Maybridge",6.974691494688164,5.954524961622237,4.612884175122363,4.690234444311988,4.898178147766923,3.8310152019163057,2.458725106115813,2.5580782047249224,6.694214876033058,2.56,1.12,6.067710743801651,2.292546666666666,0.9931074999999997,1.3910510039999995
"CC1(C)C2CCC1(C)\C(C2)=N\O","Maybridge",8.983127663125442,8.093097803749185,7.198670612749268,7.276020881938894,5.5210036028249,4.735885294459066,4.312278496709087,4.405648531174489,8.591715976331361,2.272727272727273,0.8264462809917356,7.926230769230767,2.0800888429752065,0.7516831955922864,1.3739386824936421
"OC(=O)c1nsc(Cl)c1Cl","Maybridge",7.723614639131599,6.79520719091073,2.0,2.3094010767585034,4.62589765768623,3.6953261529605315,0.75,1.0000000000000002,8.1,2.9387755102040813,1.5501730103806228,9.627029964002467,3.5640109016816446,1.9110061562194836,3.4310839742520645
"CC12CC(=O)CC1(C)CC(=O)C2","Maybridge",8.983127663125442,7.644923705673917,6.828427124746191,6.983127663125442,5.4519072626078,4.486675415210054,4.078427124746191,4.297206724228547,8.591715976331361,2.272727272727273,1.070154577883472,7.296,1.898644628099174,0.8825493460166469,1.1543759338842978
"CC12CCC(O)(CC1)CC2=O","Maybridge",8.112884175122364,6.89099579189656,6.035533905932739,6.112884175122364,5.04204064721467,4.2990512865415536,3.871320343559643,3.964690378025045,7.638888888888888,2.025,1.024,6.991409722222221,1.8354824999999995,0.9201807999999998,1.1666009268607949
"OCC1CCCN2CCCCC12","Maybridge",8.38890505706126,7.705981978871549,6.811554787871632,6.811554787871632,5.91501490017253,5.264960392522598,4.058078204724922,4.058078204724922,8.591715976331361,3.8062283737024223,1.7013232514177694,8.591715976331361,3.8062283737024223,1.7013232514177694,2.725169427325403
